design,metric,delta,golden,test
byu/uart_debouncer,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/uart_rx,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/uart_ssc,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/uart_tx,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/ID_stage,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/IF_stage,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/MEM_stage,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/a25_decode,clocks.fixed_clk_gen.tns_fail,0.0,325.0,325.0
ooc/a25_wishbone,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/aes128,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/basicrsa,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/bubblesort,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/control_unit,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/data_path,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/hight,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/jpegencode,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/median,clocks.fixed_clk_gen.tns_fail,0.0,8.0,8.0
ooc/mips_16,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/natalius_processor,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/pci_mini,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/quadratic_func,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/random_pulse_generator,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/simon_core,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
vtr_benchmarks/mkPktMerge,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
vtr_benchmarks/mkSMAdapter4B,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
vtr_benchmarks/raygentop,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
vtr_benchmarks/stereovision2,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/Sout_reg,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/UpDownButtonCount,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/buttoncount,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/calc,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/counter,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/counters,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/debouncer,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/lightWave,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/oneshot,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/regfile,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/riscvSimpleDatapath,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/riscv_final,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/rx,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/shiftReg,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/stopwatch,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/tx,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/uart,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/uart_debouncer,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/uart_rx,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/uart_ssc,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/uart_tx,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/ID_stage,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/IF_stage,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/MEM_stage,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/a25_decode,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/a25_wishbone,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/aes128,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/basicrsa,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/bubblesort,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/control_unit,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/data_path,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/hight,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/jpegencode,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/median,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/mips_16,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/natalius_processor,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/pci_mini,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/quadratic_func,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/random_pulse_generator,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
ooc/simon_core,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
vtr_benchmarks/mkPktMerge,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
vtr_benchmarks/mkSMAdapter4B,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
vtr_benchmarks/raygentop,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
vtr_benchmarks/stereovision2,clocks.fixed_clk_gen.tpws,0.0,0.0,0.0
byu/Sout_reg,clocks.fixed_clk_gen.wns,0.0,8.171,8.171
byu/UpDownButtonCount,clocks.fixed_clk_gen.wns,0.0,7.617,7.617
byu/buttoncount,clocks.fixed_clk_gen.wns,0.0,7.984,7.984
byu/calc,clocks.fixed_clk_gen.wns,0.0,6.418,6.418
byu/counter,clocks.fixed_clk_gen.wns,0.0,8.75,8.75
byu/counters,clocks.fixed_clk_gen.wns,0.0,6.524,6.524
byu/debouncer,clocks.fixed_clk_gen.wns,0.0,5.9,5.9
byu/lightWave,clocks.fixed_clk_gen.wns,0.0,8.754,8.754
byu/oneshot,clocks.fixed_clk_gen.wns,0.0,8.751,8.751
byu/regfile,clocks.fixed_clk_gen.wns,0.0,7.271,7.271
byu/riscvSimpleDatapath,clocks.fixed_clk_gen.wns,0.0,4.732,4.732
byu/riscv_final,clocks.fixed_clk_gen.wns,0.0,0.255,0.255
byu/rx,clocks.fixed_clk_gen.wns,0.0,6.872,6.872
byu/shiftReg,clocks.fixed_clk_gen.wns,0.0,8.665,8.665
byu/stopwatch,clocks.fixed_clk_gen.wns,0.0,6.181,6.181
byu/tx,clocks.fixed_clk_gen.wns,0.0,6.736,6.736
byu/uart,clocks.fixed_clk_gen.wns,0.0,6.301,6.301
byu/uart_debouncer,clocks.fixed_clk_gen.wns,0.0,6.341,6.341
byu/uart_rx,clocks.fixed_clk_gen.wns,0.0,6.898,6.898
byu/uart_ssc,clocks.fixed_clk_gen.wns,0.0,7.937,7.937
byu/uart_tx,clocks.fixed_clk_gen.wns,0.0,6.6,6.6
ooc/ID_stage,clocks.fixed_clk_gen.wns,0.0,8.205,8.205
ooc/IF_stage,clocks.fixed_clk_gen.wns,0.0,8.168,8.168
ooc/MEM_stage,clocks.fixed_clk_gen.wns,0.0,8.419,8.419
ooc/a25_decode,clocks.fixed_clk_gen.wns,0.0,-1.959,-1.959
ooc/a25_wishbone,clocks.fixed_clk_gen.wns,0.0,6.335,6.335
ooc/aes128,clocks.fixed_clk_gen.wns,0.0,5.456,5.456
ooc/basicrsa,clocks.fixed_clk_gen.wns,0.0,2.934,2.934
ooc/bubblesort,clocks.fixed_clk_gen.wns,0.0,8.327,8.327
ooc/control_unit,clocks.fixed_clk_gen.wns,0.0,7.849,7.849
ooc/data_path,clocks.fixed_clk_gen.wns,0.0,3.347,3.347
ooc/hight,clocks.fixed_clk_gen.wns,0.0,3.312,3.312
ooc/jpegencode,clocks.fixed_clk_gen.wns,0.0,0.366,0.366
ooc/median,clocks.fixed_clk_gen.wns,0.0,-1.166,-1.166
ooc/mips_16,clocks.fixed_clk_gen.wns,0.0,8.175,8.175
ooc/natalius_processor,clocks.fixed_clk_gen.wns,0.0,8.267,8.267
ooc/pci_mini,clocks.fixed_clk_gen.wns,0.0,6.633,6.633
ooc/quadratic_func,clocks.fixed_clk_gen.wns,0.0,4.891,4.891
ooc/random_pulse_generator,clocks.fixed_clk_gen.wns,0.0,8.175,8.175
ooc/simon_core,clocks.fixed_clk_gen.wns,0.0,7.019,7.019
vtr_benchmarks/mkPktMerge,clocks.fixed_clk_gen.wns,0.0,7.947,7.947
vtr_benchmarks/mkSMAdapter4B,clocks.fixed_clk_gen.wns,0.0,2.844,2.844
vtr_benchmarks/raygentop,clocks.fixed_clk_gen.wns,0.0,8.284,8.284
vtr_benchmarks/stereovision2,clocks.fixed_clk_gen.wns,0.0,8.705,8.705
byu/Sout_reg,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/UpDownButtonCount,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/buttoncount,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/calc,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/counter,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/counters,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/debouncer,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/lightWave,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/oneshot,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/regfile,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/riscvSimpleDatapath,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/riscv_final,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/rx,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/shiftReg,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
